type,x,y,w,h
0,200,400,28900,1900
0,6175,650,50,150
4,4900,650,300,50
0,4900,800,1275,200
0,4900,700,300,100
0,6175,800,1900,200
4,7200,300,300,50
3,7200,0,300,300
0,5625,0,100,250
0,7100,150,100,650
0,6900,0,100,450
0,7200,350,300,450
0,5825,0,100,200
0,6050,0,100,150
0,6300,100,125,75
0,6625,150,100,100
0,5500,700,300,100
0,5375,0,125,300
0,7500,350,175,25
0,7500,525,175,25
0,7975,0,125,100
0,8075,900,200,100
0,7500,700,400,100
0,7500,550,200,150
4,9700,500,300,50
0,9700,550,300,450
0,9650,0,50,200
0,9575,500,125,500
0,9500,350,75,650
0,9350,0,50,500
0,9400,0,250,200
0,8275,0,100,175
0,8550,0,100,275
0,8825,0,100,375
0,9150,800,350,200
3,9700,200,300,300
0,9700,0,300,200
0,7675,0,125,50
0,8100,0,175,50
0,8375,0,175,125
0,8650,0,175,225
0,8925,0,175,325
0,9100,0,100,450
0,9200,0,150,400
0,8850,900,300,100
3,4900,400,300,250
4,0,600,400,50
0,0,650,400,350
0,4800,200,100,800
0,5150,0,100,375
0,2900,800,1900,200
0,3875,700,50,100
0,3200,750,300,50
0,3475,675,25,75
0,2900,100,100,100
0,3300,350,225,50
0,3675,225,150,50
0,3950,150,150,50
0,4400,0,75,350
0,4300,625,25,175
0,3225,150,125,50
0,3450,0,75,150
0,3525,0,100,50
0,0,0,400,225
0,4325,750,475,50
0,4175,275,25,150
0,2900,0,550,25
0,2900,25,200,75
0,3525,50,50,50
0,5925,0,125,100
0,5725,0,100,150
0,5500,0,125,200
0,27900,100,100,250
0,27900,750,900,1150
0,26425,400,100,350
0,27200,0,75,525
0,26075,0,1125,400
0,27275,0,625,200
0,27425,950,475,100
0,27250,1050,650,100
0,27575,850,325,100
0,27750,750,150,100
0,27500,400,100,100
3,28525,200,275,300
2,28525,500,275,50
0,28525,550,275,200
0,28800,100,100,650
0,5250,0,125,250
0,5800,750,125,50
0,5375,750,125,50
0,8725,950,125,50
0,9025,850,125,50
0,8275,950,125,50
0,26525,400,125,400
0,26750,400,125,275
0,26975,400,125,200
0,5075,0,75,75
0,4475,0,75,75
0,4325,0,75,75
0,3025,375,75,75
0,24775,-50,200,0
0,13250,400,550,600
4,13500,350,300,50
3,13500,50,300,300
0,13225,125,275,275
0,13225,0,275,50
0,13100,50,50,225
0,13500,0,300,50
0,11200,0,50,225
0,11100,0,100,175
0,10975,0,125,125
0,10650,0,175,50
0,10450,0,200,25
0,10800,675,50,225
0,11600,675,50,225
0,12000,0,50,225
0,9500,300,25,25
0,11500,725,100,175
0,10825,0,150,75
0,11375,775,125,125
0,11225,825,150,75
0,11050,850,175,50
0,10850,875,200,25
0,11900,0,100,175
0,11775,0,125,125
0,11625,0,150,75
0,11450,0,175,50
0,11250,0,200,25
0,10400,0,50,225
0,10700,725,100,175
0,10575,775,125,125
0,10425,825,150,75
0,10250,850,175,50
0,11650,875,200,25
0,11850,850,175,50
0,12025,825,150,75
0,12175,775,125,125
0,12300,725,100,175
0,13200,675,25,225
0,12050,0,200,25
0,12250,0,175,50
0,12400,675,50,225
0,12800,0,50,225
0,12700,0,100,175
0,12575,0,125,125
0,12425,0,150,75
0,13100,725,100,175
0,12975,775,125,125
0,12825,825,150,75
0,12650,850,175,50
0,12450,875,200,25
0,12850,0,200,25
0,13050,0,175,50
0,13225,600,25,400
0,10300,0,100,175
0,10175,0,125,125
0,10025,0,150,75
0,10000,0,25,50
0,10050,875,200,25
0,10000,675,50,225
0,9500,325,50,25
0,9575,375,25,125
0,9600,400,25,100
0,9625,425,25,75
0,9650,450,25,50
0,9675,475,25,25
4,19200,450,300,50
3,19200,150,300,300
0,19200,500,300,500
0,15275,800,50,200
0,16025,0,50,200
0,18900,800,100,200
0,19000,425,200,575
0,18825,800,75,200
0,15250,850,25,150
0,15225,900,25,100
0,15200,950,25,50
0,15325,850,25,150
0,15350,900,25,100
0,15375,950,25,50
0,15400,975,25,25
0,15175,975,25,25
0,16000,0,25,150
0,15975,0,25,100
0,15950,0,25,50
0,15925,0,25,25
0,16075,0,25,150
0,16100,0,25,100
0,16125,0,25,50
0,16150,0,25,25
0,19200,0,300,150
0,19500,0,200,200
0,19500,500,200,500
0,19700,750,3825,250
0,20325,700,200,50
0,21125,700,200,50
0,23550,400,75,50
0,23750,250,75,750
4,23950,500,300,50
3,23950,225,300,275
0,23825,650,425,1250
0,23950,0,300,225
0,20725,100,200,50
0,21525,100,200,50
0,21925,700,200,50
0,19700,0,3925,100
0,22325,100,200,50
0,21825,725,100,25
0,22125,725,100,25
0,22225,100,100,25
0,22525,100,100,25
0,21725,100,100,25
0,21425,100,100,25
0,20925,100,100,25
0,20625,100,100,25
0,21325,725,100,25
0,21025,725,100,25
0,20525,725,100,25
0,20225,725,100,25
0,19925,100,200,50
0,20125,100,100,25
0,19825,100,100,25
0,18900,100,100,700
0,18675,275,75,50
0,18700,225,25,25
0,18700,150,25,25
0,20400,275,50,25
0,20400,350,50,25
0,20400,425,50,25
0,21200,275,50,25
0,21200,350,50,25
0,21200,425,50,25
0,22000,275,50,25
0,22000,350,50,25
0,22000,425,50,25
0,23625,0,325,100
0,23825,550,425,100
0,23525,750,225,250
0,23575,325,25,25
0,23575,250,25,25
0,23575,100,25,25
0,23400,700,350,50
0,23125,100,200,50
0,23025,100,100,25
0,23325,100,100,25
0,22725,700,200,50
0,22925,725,100,25
0,22625,725,100,25
0,23575,175,25,25
0,22800,425,50,25
0,22800,350,50,25
0,22800,275,50,25
4,2600,650,300,50
0,2600,700,300,300
3,2600,300,300,350
0,2300,250,100,750
0,2600,0,300,300
0,2400,600,200,400
0,2300,200,50,50
0,2550,0,50,100
0,2500,0,50,50
0,1375,650,50,175
0,400,825,1900,175
0,16775,800,50,200
0,16750,850,25,150
0,16725,900,25,100
0,16700,950,25,50
0,16675,975,25,25
0,16825,850,25,150
0,16850,900,25,100
0,16875,950,25,50
0,16900,975,25,25
0,17525,0,50,200
0,17500,0,25,150
0,17475,0,25,100
0,17450,0,25,50
0,17425,0,25,25
0,17575,0,25,150
0,17600,0,25,100
0,17625,0,25,50
0,17650,0,25,25
0,18700,75,25,25
0,18700,900,125,100
0,17675,650,100,75
0,15700,500,125,50
0,16200,625,125,75
0,17125,325,100,75
0,15550,0,100,100
0,18275,800,50,200
0,18250,850,25,150
0,18225,900,25,100
0,18325,850,25,150
0,18350,900,25,100
0,18375,950,25,50
0,18400,975,25,25
0,18200,950,25,50
0,18175,975,25,25
0,17900,175,100,75
0,18625,725,100,50
0,15275,500,50,25
0,15275,400,50,25
0,15275,300,50,25
0,16775,500,50,25
0,16775,400,50,25
0,16775,300,50,25
0,18275,500,50,25
0,18275,400,50,25
0,18275,300,50,25
0,16450,125,100,75
0,15900,875,300,125
0,16200,925,100,75
0,16300,975,100,25
0,15800,925,100,75
0,15700,975,100,25
0,17400,875,300,125
0,17700,925,100,75
0,17800,975,100,25
0,17300,925,100,75
0,17200,975,100,25
0,14525,0,50,200
0,14500,0,25,150
0,14475,0,25,100
0,14450,0,25,50
0,14425,0,25,25
0,14575,0,25,150
0,14600,0,25,100
0,14625,0,25,50
0,14650,0,25,25
0,14400,875,300,125
0,14700,925,100,75
0,14800,975,100,25
0,14300,925,100,75
0,14200,975,100,25
0,18700,0,25,25
0,14800,700,100,75
0,14125,175,100,75
0,14175,575,150,75
0,14900,125,75,75
0,400,0,100,225
0,500,0,100,175
0,600,0,100,150
0,700,0,100,75
0,800,0,200,25
0,700,675,275,150
0,1425,700,25,125
0,1450,750,25,75
0,1350,700,25,125
0,1325,750,25,75
0,625,300,75,75
0,900,250,75,75
0,1175,175,75,75
0,1600,175,75,75
0,1825,700,275,125
0,2100,650,200,175
0,1350,0,100,100
0,1450,0,100,25
0,1050,0,300,25
0,1375,100,50,50
0,1950,450,150,50
0,1950,0,50,225
0,2000,0,75,50
0,1000,0,50,75
0,950,25,50,25
0,1050,25,50,25
0,1875,175,75,50
0,10000,900,3225,100
0,975,725,75,100
0,625,725,75,100
0,1475,800,25,25
0,1300,800,25,25
0,1050,775,50,50
0,1700,775,125,50
0,575,775,50,50
0,700,75,125,50
0,28100,550,100,200
0,28000,100,800,50
0,28200,525,325,225
0,26875,400,100,150
0,27100,400,100,75
0,26650,400,100,225
0,8075,1000,1425,900
0,13800,1000,4900,275
0,27000,1150,900,100
0,26825,1250,1075,100
0,26600,1350,1300,550
0,28800,750,100,1150
0,24250,650,975,100
0,26300,400,125,500
0,26200,400,100,450
0,26075,400,125,600
0,26000,800,75,200
0,25125,600,50,50
0,24975,750,325,100
0,24375,750,600,150
0,25050,1350,725,75
0,24250,750,125,1150
0,25325,1250,575,50
0,25225,1300,675,50
0,21850,1000,1975,900
0,26325,1650,275,250
0,26175,1750,150,150
0,27900,0,1000,100
0,24625,1825,50,75
0,24675,1875,425,25
0,24575,1800,50,100
0,24525,1700,50,200
0,24475,1525,50,375
0,24425,1225,50,675
0,24375,900,50,1000
0,25850,0,225,75
0,25850,75,225,125
0,26000,200,75,350
0,26050,550,25,250
0,25825,950,175,50
0,24425,900,200,175
0,24625,900,200,75
0,24425,1075,100,150
0,25300,750,50,50
0,24250,0,100,175
0,24500,0,100,100
0,24350,0,150,200
0,24600,0,150,150
0,24750,0,100,50
0,24600,600,200,50
0,24800,625,150,25
0,24450,625,150,25
0,25100,625,25,25
0,25175,625,25,25
0,25000,0,100,25
0,25250,0,100,50
0,25100,0,150,75
0,24850,0,150,100
0,25350,0,150,100
0,25500,0,100,75
0,25600,0,150,150
0,25750,0,100,125
0,25925,200,75,100
0,25400,1875,425,25
0,25825,1850,350,50
0,25425,1200,575,50
0,25525,1150,475,50
0,25625,1100,475,50
0,25700,1050,400,50
0,25775,1000,425,50
0,25875,900,125,50
0,25925,850,75,50
0,25975,800,25,50
0,26000,750,50,50
0,26025,550,25,200
0,25225,675,125,75
0,25350,650,125,75
0,25350,725,50,25
0,25775,1350,25,25
0,25900,1250,25,25
0,26000,1150,25,25
0,26100,1050,25,25
0,26475,1450,125,100
0,26400,1550,200,100
0,26725,1300,100,50
0,26925,1200,75,50
0,27125,1100,125,50
0,27325,1000,100,50
0,27500,900,75,50
0,27650,800,100,50
0,23825,475,125,75
0,23750,200,50,50
0,27850,700,250,50
0,27950,650,150,50
0,28025,600,75,50
0,19700,1000,2150,900
0,18700,1000,1000,900
0,13800,1275,4900,625
0,9500,1000,4300,900
0,4900,1000,3175,900
0,2600,1000,2300,900
0,0,1000,2600,900
