type,x,y,orientation,cooldown,range,minAng,maxAng
3,6200,650,3,30,1000,-4.2,1
3,7500,450,0,15,2000,-0.5,0.6
3,3900,700,3,30,1000,-4.2,1
3,25150,600,3,30,900,-3.6,0.4
3,27025,1150,3,30,1200,-3.8,-0.3
3,13250,500,2,10,3250,1.6,4.6
4,15300,800,3,45,800,-4.2,1
4,16050,200,1,45,800,-1.1,4.2
2,20425,700,3,60,550,-3.5,0.4
2,21225,700,3,60,550,-3.5,0.4
2,20825,150,1,60,550,-0.4,3.5
2,21625,150,1,60,550,-0.3,3.5
2,22025,700,3,60,550,-3.5,0.4
2,22425,150,1,60,700,-0.4,3.5
2,20025,150,1,60,550,-0.4,3.5
2,22825,700,3,60,550,-3.5,0.3
2,23225,150,1,30,700,-0.3,3.5
4,1400,650,3,50,1000,-4.1,1
4,16800,800,3,45,800,-4.2,1.1
4,17550,200,1,45,800,-1.1,4.2
4,18300,800,3,30,800,-4.2,1.1
4,14550,200,1,45,800,-1.1,4.2
3,24650,1825,3,45,1500,-1.8,0.1
