type,x,y,w,h
0,200,400,30400,1300
0,0,600,400,700
0,500,200,100,100
0,700,600,500,150
0,900,100,100,100
0,700,750,2000,550
0,1300,200,100,100
0,1750,700,100,50
0,1600,125,100,100
0,1900,125,100,100
0,2200,200,100,100
0,2400,650,300,100
3,2400,300,300,300
0,6450,0,100,100
0,5200,1000,2000,300
0,7200,650,300,650
3,7200,300,300,300
0,5825,575,150,100
0,6425,575,150,100
0,6150,300,100,100
0,5550,300,100,100
0,6750,300,100,100
0,7050,200,100,100
0,5250,200,100,100
0,5850,0,100,100
0,4900,650,300,650
3,4900,300,300,300
0,8275,700,50,600
0,8200,800,75,500
0,8325,800,75,500
0,8125,900,75,400
0,8400,900,75,400
0,8475,1000,75,300
0,8550,1100,75,200
0,8625,1200,475,100
0,8050,1000,75,300
0,7975,1100,75,200
0,7500,1200,475,100
0,9100,750,300,550
3,9100,400,300,300
0,7800,0,100,450
0,8775,0,75,650
0,9025,150,75,600
0,8675,850,50,50
0,7500,975,150,225
0,8950,975,150,225
0,2700,1100,2200,200
0,7650,1150,75,50
0,7500,850,50,125
0,8875,1150,75,50
0,9050,850,50,125
0,2700,0,2200,200
0,2700,700,800,400
0,2700,200,400,50
0,3300,200,500,50
0,3150,550,100,150
0,2850,250,100,100
0,3450,250,100,100
0,3500,850,100,100
0,3800,200,400,400
0,3900,600,300,100
0,4000,700,100,100
0,3700,250,100,150
0,4275,625,75,75
0,4750,825,150,275
0,4825,400,75,400
0,4750,400,75,100
0,4675,800,225,25
0,4450,375,75,75
0,7675,675,175,100
0,7575,250,100,100
0,8000,200,100,100
0,8250,0,100,200
0,8525,250,100,100
0,400,650,300,650
0,4750,600,75,100
0,9400,200,300,200
0,9900,625,100,275
0,9400,900,4150,400
0,9700,200,200,75
0,10000,200,200,75
0,10200,200,100,300
0,9600,400,100,100
0,10500,625,100,275
0,10300,200,200,75
0,10600,200,200,75
0,10800,200,100,300
0,11100,625,100,275
0,10900,200,200,75
0,11200,200,200,75
0,11400,200,100,300
0,11500,200,200,75
0,13100,650,300,250
3,13100,300,300,300
0,12900,625,200,275
0,13550,525,100,475
0,13650,525,50,175
0,13650,800,50,200
0,13100,0,900,100
0,14050,300,100,300
0,14000,400,50,200
0,14000,0,150,300
0,13400,625,150,275
0,13550,1000,3500,300
0,14550,525,100,475
0,14150,400,50,200
0,14025,900,150,100
0,14500,800,50,200
0,14500,525,50,175
0,14150,0,50,300
0,14200,0,850,100
0,14475,100,250,125
0,14650,525,50,175
0,14650,800,50,200
0,13475,100,250,125
0,15050,0,100,600
0,15000,400,50,200
0,15000,100,50,200
0,15150,400,50,200
0,15150,0,50,300
0,15025,900,150,100
4,16750,600,300,50
3,16750,300,300,300
0,15550,525,100,475
0,15500,525,50,175
0,15500,800,50,200
0,15650,525,50,175
0,15650,800,50,200
0,15200,0,950,100
0,15475,100,250,125
0,16050,100,100,500
0,16000,100,50,200
0,16000,400,50,200
0,16025,900,150,100
0,16150,400,50,200
0,16150,0,50,300
0,16550,525,200,475
0,16500,525,50,175
0,16500,800,50,200
0,16200,0,4200,100
0,16475,100,575,125
0,16750,650,300,350
0,9400,0,3700,200
0,8850,0,550,50
0,18000,100,100,300
0,18100,100,100,225
0,17900,100,100,225
0,18200,100,100,150
0,17800,100,100,150
0,17700,100,100,75
0,18300,100,100,75
0,17050,1200,3250,100
0,18900,900,100,300
0,19000,975,100,225
0,19100,1050,100,150
0,19200,1125,100,75
0,18800,975,100,225
0,18700,1050,100,150
0,18600,1125,100,75
0,17050,900,350,300
0,20000,850,300,350
3,20000,500,300,300
0,19300,100,700,300
0,19000,400,25,325
0,18400,800,75,75
0,17775,675,25,125
0,17500,300,100,100
0,18175,600,100,100
0,18950,100,75,200
0,19800,825,200,375
0,17200,200,100,100
0,17250,650,200,25
0,18675,550,75,50
0,18000,800,100,100
0,19325,550,75,75
0,19425,650,75,75
0,19525,750,75,75
0,19625,850,75,75
0,18450,350,75,75
0,19800,500,25,325
0,19300,400,400,100
0,19925,400,75,100
0,17050,800,100,100
0,17050,650,50,150
0,17050,100,50,75
0,18925,225,25,75
0,20000,100,375,275
0,19725,625,75,75
0,20300,1000,1300,300
0,20925,750,50,100
0,20875,850,150,75
0,20800,925,300,50
0,20375,150,100,125
0,20400,0,1200,100
0,21600,850,300,450
3,21600,500,300,300
0,21600,0,300,400
0,21425,200,175,150
0,21500,775,100,225
0,20300,900,100,100
0,20300,375,100,100
0,20725,150,100,100
0,20450,800,100,25
0,20975,150,100,100
0,21225,200,100,100
0,21450,400,100,100
0,21475,700,25,300
0,20500,200,100,100
0,20375,100,400,50
0,21300,100,300,100
0,20775,100,525,50
0,13100,100,375,125
0,20700,975,500,25
2,30000,850,400,75
3,30000,550,400,300
0,30000,925,400,375
0,25800,850,300,450
3,25800,500,300,300
1,21900,1100,3900,200
1,21900,0,3900,200
1,22000,375,100,100
1,22425,825,50,275
1,22375,800,150,25
1,21900,200,100,200
1,22000,200,125,150
1,22125,200,125,75
1,22250,250,100,100
1,22500,200,100,100
1,22750,200,100,175
1,22650,200,100,75
1,22850,200,100,75
1,23075,800,150,25
1,23125,825,50,275
1,23775,800,150,25
1,23825,825,50,275
1,24475,800,150,25
1,24525,825,50,275
1,25175,800,150,25
1,25225,825,50,275
0,25800,0,300,400
1,25625,200,175,175
1,25525,200,100,125
1,25350,200,175,50
1,24775,200,250,125
1,25025,200,125,50
1,24625,200,150,50
1,24175,200,50,400
1,24225,200,150,50
1,24050,200,125,50
1,24875,350,50,50
1,24875,450,50,50
1,24875,550,50,50
1,24875,650,50,50
1,23025,200,100,100
1,23400,200,50,50
1,23450,200,100,75
1,23450,275,25,100
1,23475,275,50,25
1,23475,300,25,200
1,23225,200,100,100
1,23400,250,25,50
1,23525,275,50,50
1,23550,200,50,75
1,23500,300,25,150
1,23425,250,25,75
1,23325,200,75,25
1,22700,275,50,75
1,22775,375,50,75
1,22850,275,50,50
1,23600,200,125,25
1,23650,225,75,75
1,23625,300,75,75
1,23825,200,100,100
1,23975,200,75,75
1,23750,200,75,25
1,24025,275,75,75
1,24250,375,75,75
1,24325,250,125,125
1,24550,250,75,75
1,24700,300,75,75
1,25050,375,75,75
1,25250,325,75,75
1,25450,350,75,75
1,25650,425,75,75
1,23525,325,25,50
1,24075,400,75,75
1,26100,0,4300,100
1,26100,1100,3900,200
1,29600,525,150,150
1,29825,575,75,50
1,29750,500,25,200
1,29775,550,50,100
0,30000,475,75,75
0,26225,775,175,25
1,26600,100,100,300
0,26450,500,75,25
0,26175,525,75,25
0,26725,525,75,25
0,26775,725,100,25
1,27100,850,100,250
1,27650,100,100,200
1,28250,950,100,150
1,28875,100,100,100
0,27000,425,75,25
0,27200,375,75,25
0,27300,675,100,25
0,27675,425,75,25
0,27625,800,125,25
0,27475,350,75,25
0,27900,375,100,25
0,28150,275,125,25
0,28000,725,100,25
0,28375,425,100,25
0,28500,750,100,25
0,28725,925,100,25
0,29000,800,100,25
0,28625,300,125,25
0,28875,375,75,25
0,29125,250,75,75
0,29200,975,125,25
0,29325,175,75,75
1,29550,950,50,150
1,29550,100,50,150
1,29625,675,125,50
1,29625,475,125,50
0,11700,650,100,250
0,12000,200,100,300
0,12300,650,100,250
0,11800,200,200,75
0,12100,200,200,75
0,12400,200,200,75
0,12600,200,100,300
0,12700,200,400,100
4,0,550,400,50
4,2400,600,300,50
4,4900,600,300,50
4,7200,600,300,50
4,9100,700,300,50
4,13100,600,300,50
4,20000,800,300,50
4,21600,800,300,50
4,25800,800,300,50
0,4750,375,150,25
0,13550,500,150,25
0,14500,500,200,25
0,15500,500,200,25
0,16500,500,250,25
