type,x,y,w,h
0,200,400,22700,1300
1,3400,700,800,600
1,3400,0,800,300
0,0,625,400,675
0,4200,650,300,650
1,4500,700,900,600
0,7000,550,300,750
1,4500,0,200,300
1,4850,0,200,300
0,5400,650,300,650
1,5700,700,1300,600
4,9000,400,300,50
1,6100,200,100,100
1,6300,250,100,100
1,6500,200,100,100
3,5400,300,300,300
3,4200,300,300,300
1,5200,0,200,300
1,5900,150,100,100
1,6700,150,100,100
1,5700,200,100,100
1,6900,100,100,100
3,7000,200,300,300
1,7600,0,100,800
1,7300,1100,2000,200
1,7800,650,100,100
1,8000,550,100,100
1,8200,450,100,100
1,8400,350,100,100
1,8600,250,100,100
1,8800,150,100,100
3,9000,100,300,300
1,9300,1200,8600,100
1,9000,450,300,650
1,9600,0,100,900
1,9700,800,900,100
1,11100,500,300,700
1,10200,400,1200,100
1,9700,0,1900,50
1,10800,600,100,100
4,10700,1150,300,50
3,10700,850,300,300
1,9800,300,100,100
1,10000,100,100,100
4,11100,350,300,50
3,11100,50,300,300
1,12100,1100,100,100
1,11600,0,100,100
1,11700,0,100,200
1,11800,0,100,300
1,11900,0,100,400
1,12000,0,100,500
1,12100,0,100,600
1,12200,0,100,700
1,11500,500,100,700
1,11400,400,100,800
1,11600,600,100,600
1,11700,700,100,500
1,11800,800,100,400
1,11900,900,100,300
1,12000,1000,100,200
1,12300,0,100,800
1,12400,0,100,700
1,12500,0,100,600
1,12600,0,100,500
1,12500,1100,100,100
1,12600,1000,100,200
1,12700,900,100,300
1,12700,0,100,400
1,12800,0,100,300
1,12900,0,100,200
1,13000,0,100,100
1,12800,800,100,400
1,12900,700,100,500
1,13000,600,100,600
1,13100,500,100,700
1,13200,400,100,800
4,13300,350,300,50
1,13300,400,300,800
3,13300,50,300,300
1,13900,0,300,500
1,14500,400,100,100
1,14900,0,300,700
1,15500,600,100,100
1,15900,0,300,900
1,16400,700,100,100
1,16800,500,100,100
1,17200,300,100,100
1,17600,100,100,100
1,18500,0,200,200
1,18500,450,200,750
1,18900,100,100,100
1,19200,0,200,900
1,19200,1150,200,50
1,19600,600,100,100
1,19900,850,200,350
1,19900,0,200,600
1,20300,300,100,100
1,20600,0,200,300
1,20600,550,200,650
1,21300,1050,200,150
1,21300,0,200,800
1,21700,700,100,100
1,22400,475,300,825
2,22400,400,300,75
3,22400,100,300,300
1,17900,350,300,950
4,17900,300,300,50
3,17900,0,300,300
1,18200,1200,4200,100
1,21900,400,100,100
1,22100,100,100,100
0,1900,1200,1200,100
0,3100,650,300,650
3,3100,300,300,300
0,500,200,800,100
0,2900,200,100,100
0,2600,200,100,100
0,2300,200,100,100
0,2000,200,100,100
0,1700,600,200,325
0,400,1200,1300,100
0,400,750,250,450
0,650,1100,450,100
0,750,500,350,50
0,2350,900,300,75
0,1625,175,100,100
0,0,150,200,100
0,1250,800,150,75
0,950,700,100,100
0,1400,400,100,100
0,2700,600,100,100
0,2200,600,100,100
0,3025,875,75,25
0,1700,1050,200,250
0,1625,900,75,25
0,1700,1025,275,25
4,0,575,400,50
4,3100,600,300,50
4,4200,600,300,50
4,5400,600,300,50
4,7000,500,300,50
